,ds,yhat,yhat_lower,yhat_upper
2082,2025-09-13,109980.29268783657,102054.87075996803,117664.38979957563
2083,2025-09-14,110033.04279093463,101714.59214101416,118412.1171382579
2084,2025-09-15,110186.79040941579,102260.75190108942,118756.2830473663
2085,2025-09-16,110202.65951628976,102934.94507483582,118260.98989846374
2086,2025-09-17,110495.16576869233,102896.83869936508,118347.95131912577
2087,2025-09-18,110460.0988137979,102317.01166147989,118323.49507527343
2088,2025-09-19,110556.56823352416,102062.79300989627,118570.21741214316
2089,2025-09-20,110647.37875701784,102983.10530679247,118664.66956884986
2090,2025-09-21,110764.4874011628,102584.88923717607,118877.78263423839
2091,2025-09-22,110980.14886052134,102343.76329409878,118907.2898351451
2092,2025-09-23,111055.53706246443,103318.4146525687,118530.5722993085
2093,2025-09-24,111405.3329051215,103251.7614002721,119497.67551037949
2094,2025-09-25,111425.59213162574,103437.71329078893,119511.25273071931
2095,2025-09-26,111575.77338466606,103943.21129768566,119796.59057540285
2096,2025-09-27,111719.09274071455,103299.8519721087,119726.64711049823
2097,2025-09-28,111887.95814752537,103342.70747810509,120380.67295163393
2098,2025-09-29,112155.09091660567,104207.10418374452,119858.98424232472
2099,2025-09-30,112282.12305523704,104614.37604588877,119693.70666149915
2100,2025-10-01,112684.16133349403,104998.56144024631,120390.20324756615
2101,2025-10-02,112757.63289665083,104360.8316956314,120623.4400222564
2102,2025-10-03,112962.29327376538,104761.73794620733,121000.94973217305
2103,2025-10-04,113161.56381093727,105369.79621020154,121348.06373104306
2104,2025-10-05,113387.95257927477,105238.68794193503,121314.19317519001
2105,2025-10-06,113714.1664114324,105885.25123876028,121809.58153393606
2106,2025-10-07,113901.70321167517,106167.46644038698,121964.89347660434
2107,2025-10-08,114365.41564070364,105656.9221875281,122247.66266096683
2108,2025-10-09,114501.36102913297,106731.2835024106,123012.60043970085
2109,2025-10-10,114768.81824943006,106979.39932488228,122264.36616898116
2110,2025-10-11,115030.63829249325,106612.0939512795,122826.47507033679
2111,2025-10-12,115318.68216403597,106770.86734099431,123642.80848858222
2112,2025-10-13,115704.95318095101,107424.61776101925,123427.27255764561
2113,2025-10-14,115950.21211879075,108067.36647152343,124000.47956127186
2114,2025-10-15,116468.5655202866,108168.04489326567,124393.87167507819
2115,2025-10-16,116655.34115629114,108713.51654532086,124661.0041430292
2116,2025-10-17,116969.13046394371,109056.24564751876,125392.48672191001
2117,2025-10-18,117272.16379125396,108651.67469663492,125009.86569726885
2118,2025-10-19,117595.77116543186,109456.5744455484,125718.76018468931
2119,2025-10-20,118011.53481729722,109928.07910967006,126349.44942639608
2120,2025-10-21,118279.92114449719,109280.15349216206,125771.99088608092
2121,2025-10-22,118814.88176170073,110415.65279683967,126919.0236555861
2122,2025-10-23,119011.73709793047,110255.45167043828,127111.2353616252
2123,2025-10-24,119329.22198500359,110696.97272628042,127884.40688858982
2124,2025-10-25,119629.85885102075,111732.48909478901,128191.06353385451
2125,2025-10-26,119945.4111963429,111722.29940034577,128469.60815545321
2126,2025-10-27,120348.02372403385,112405.6574987784,128714.06427192567
2127,2025-10-28,120598.83712497131,112479.12126832674,128527.26309207658
2128,2025-10-29,121112.5676535264,112880.9264113671,129050.05248800691
2129,2025-10-30,121285.36559853554,112800.13754338841,129344.57187061738
2130,2025-10-31,121576.83287638392,114292.32696466312,129374.41609931951
2131,2025-11-01,121850.36625761614,114310.43143340082,130016.57914013985
2132,2025-11-02,122138.57988904516,114289.13085694525,130330.3659483746
2133,2025-11-03,122514.41452392725,114827.81074297558,130057.86384350195
2134,2025-11-04,122739.72252374799,114694.61058999984,130747.00779565432
2135,2025-11-05,123229.81981897305,115024.67300908953,131568.85257761696
2136,2025-11-06,123381.31993817198,114463.22424554343,130957.60647531609
2137,2025-11-07,123654.1312563106,114954.82574336001,131999.98288767753
2138,2025-11-08,123911.78478484249,115888.8178083898,132171.33593230075
2139,2025-11-09,124186.8468351108,115974.10283240274,132150.84289084765
2140,2025-11-10,124552.0244705035,116162.14268312402,132288.45626271132
2141,2025-11-11,124768.75312703772,116740.42075869962,133199.43091813105
2142,2025-11-12,125251.75770458086,116860.03950454618,132990.08840242974
2143,2025-11-13,125396.90214334936,117461.73044841876,133793.25653101486
2144,2025-11-14,125663.20833011379,117447.3022580373,133615.5907073842
2145,2025-11-15,125913.21114372487,118237.10886107778,133966.32543125545
2146,2025-11-16,126178.40326300991,118010.2905521322,134147.7605531904
2147,2025-11-17,126530.37676658934,118625.49268747623,134774.82741109174
2148,2025-11-18,126729.44986459723,118432.43649543374,133940.75386619318
2149,2025-11-19,127189.26890015793,119174.32670378221,135398.1318695794
2150,2025-11-20,127304.69937979607,119327.54280168426,135580.40997473223
2151,2025-11-21,127533.88556777737,119678.03592788616,135462.80916731164
2152,2025-11-22,127738.64413014865,120048.0753669802,136331.44821712645
2153,2025-11-23,127949.94415416142,119505.57929164845,136050.74908972665
2154,2025-11-24,128239.07934263426,120023.42349418219,136772.40665482078
2155,2025-11-25,128366.3196002968,119932.50147552526,136112.03104554577
2156,2025-11-26,128745.53117134584,120557.16400843661,136931.39256290437
2157,2025-11-27,128772.07828670973,120706.1668107038,136414.65940454425
2158,2025-11-28,128904.88526215112,121234.24074518537,137230.98404557424
2159,2025-11-29,129006.82416913375,120958.52797627516,137602.1013014965
2160,2025-11-30,129110.18028704323,121440.3289233548,137957.58338300503
2161,2025-12-01,129287.80127553805,121109.3354151749,137740.2764262362
2162,2025-12-02,129301.71768168705,121069.9213926483,137899.45957734578
2163,2025-12-03,129567.72459141986,121767.99214920258,138052.0873449457
2164,2025-12-04,129483.23827340441,121378.31582091113,137644.57100063146
2165,2025-12-05,129509.30786457656,121497.10434300711,138035.6861767548
2166,2025-12-06,129510.94851803659,120590.31261770992,137246.23301812232
2167,2025-12-07,129522.54967739715,121711.98217816594,138276.61691005508
2168,2025-12-08,129618.96598913497,121563.35882628098,137953.71852251588
2169,2025-12-09,129564.08011410185,120993.13803977681,138574.31987780385
2170,2025-12-10,129775.3289212131,121142.27757606459,138066.33010988546
2171,2025-12-11,129651.50856354275,121293.22972845899,137984.46901136314
2172,2025-12-12,129654.74006808827,122007.54903240911,138485.64388027182
2173,2025-12-13,129650.76332425416,120877.67070608692,139032.01505064883
2174,2025-12-14,129674.31443672636,121933.24935039257,138307.63536104182
2175,2025-12-15,129800.19505195362,121263.4011999941,138422.56190948057
2176,2025-12-16,129791.82377708351,121430.93887234584,138618.13720293227
2177,2025-12-17,130065.76176245307,121692.13325688461,138365.33503662952
2178,2025-12-18,130019.52824383552,122300.20464374217,138877.36890380058
2179,2025-12-19,130113.58766519773,121704.80512511941,138443.15045934386
2180,2025-12-20,130211.67594421792,122393.72770855892,138785.8312080805
2181,2025-12-21,130346.22021423274,121920.99814279487,139117.29681686996
2182,2025-12-22,130589.45972261479,122727.8889522831,139302.4426444068
2183,2025-12-23,130702.05679879352,122081.09563253609,140088.54525450632
2184,2025-12-24,131097.68850991948,122925.52767805975,139678.15494928273
2185,2025-12-25,131170.93313642507,122149.06394886339,138946.81422179914
2186,2025-12-26,131379.33125655603,122843.55628070359,139933.87246862234
2187,2025-12-27,131583.78705138783,123200.92951058167,139490.59597629594
2188,2025-12-28,131814.06214694702,122877.7643062364,140519.63568840208
2189,2025-12-29,132139.96764559852,123931.70909539427,140911.89329005012
2190,2025-12-30,132320.04127788404,123762.96646236679,141327.10133964574
